Event-Name,Event-Details
Turning of the Year Celtic Celebration:,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, December 08, 2018</span> </div>
<p><strong>Celtic Holiday Mini-Fest:</strong></p>
<p><strong>John Whelan, Low Lily &amp; Katie McNally</strong></p>
<p><strong>TURNING OF THE YEAR</strong></p>
<div class=""video embed-wrapper""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""383"" src=""https://www.youtube.com/embed/F3KiPNqLSbg?feature=oembed"" width=""680""></iframe></div>
<p>“Spirited…lively!…memorable musical celebration…the warmth and good cheer would have felt good in any season”<br/>
-PORTLAND PRESS HERALD</p>
<p>The Eighth Step presents TURNING OF THE YEAR: A Celtic Holiday Mini-Fest, an intergenerational extravaganza of traditional Irish button accordion, Scottish &amp; Cape Breton fiddle, guitars, mandolin and harmony singing!</p>
<p>Alongside fast jigs and reels will be lesser-known Christmas carols and wintry classics: two fiddles, accordion, guitars, mandolin, double bass and lush, layered vocals. The generations come together for a fresh new take on roots music from both sides of the pond. Traditional and original music from Ireland, Scotland and America makes for a diverse and high-energy evening to help usher in the holiday season.</p>
<p>Seven Times All-Ireland Fiddle Champion and Narada recording artist JOHN WHELAN teams up with American Roots Band LOW LILY, and KATIE McNALLY on Scottish and Cape Breton fiddle. The ensemble brings an exciting, mix of Irish and Scottish music, modern American string band music and harmonious vocals to celebrate the upcoming Winter holidays.</p>
<p>Whelan, original Riverdance cast member, leads the ensemble with seemingly endless personality and energy. Long-time fans remember his Irish fusion band Kips Bay Coeli Band, a powerhouse of immigrant talent, or his fabulous duo performances on our stage with band mate Pat Kilbride.</p>
<p>Low Lily is Liz Simmons on vocals &amp; guitar, Flynn Cohen on vocals, guitar, mandolin, and Lissa Schneckenburge on vocals, fiddle.</p>
<p>This evening brings more than a triple bill – the artists mix solos, duos and everything-in-between. From the sweet sound of the accordion with simple but lush guitar textures behind it, to a blast of reels with everyone playing, to an American song ringing with soaring three-part harmony, this show bursts with life!</p>
</div>"
Film: Tragedy of King Richard the Second,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, March 26, 2019</span> </div>
<div> </div>
<div class=""x_gmail_default"">National Theatre presents:</div>
<div class=""x_gmail_default""><b>The Tragedy of King Richard the Second</b></div>
<div class=""x_gmail_default"">By William Shakespeare</div>
<div class=""x_gmail_default""> </div>
<div class=""x_gmail_default"">Simon Russell Beale plays William Shakespeare’s Richard II from the stage of the Almeida Theatre in London to cinemas worldwide.  </div>
<div class=""x_gmail_default""> </div>
<div class=""x_gmail_default"">Richard II, King of England, is irresponsible, foolish and vain. His weak leadership sends his kingdom into disarray and his court into uproar. Seeing no other option but to seize power, the ambitious Bolingbroke challenges the throne and the king’s divine right to rule. </div>
<div class=""x_gmail_default""> </div>
<div class=""x_gmail_default"">Simon Russell Beale returns to National Theatre Live screens following productions of Timon of Athens and King Lear, and his recent role in the National Theatre’s critically acclaimed production of The Lehman Trilogy.   Not rated, but being treated as PG-13.  Expected running time approx. 150 minutes.</div>
<div class=""x_gmail_default""> </div>
<div class=""x_gmail_default""><b>Tuesday, March 26 at 2pm and 7pm</b></div>
<div> </div>
</div>"
Winston Churchill: The Blitz SD,"<div class=""content"">
<div class=""show-run"">
<span>Friday, March 15, 2019</span> </div>
<p><strong>WINSTON CHURCHILL: THE BLITZ</strong><br/>
March 15, 2019 | 10 a.m.<br/>
Cost: $8/$9<br/>
GE Theatre at Proctors</p>
<p>Run Time: 99 minutes<br/>
Grades 7+</p>
<p><strong>Curriculum Connections: WORLD HISTORY, WWII</strong></p>
<p>Randy Otto portrays Churchill’s unwavering, audacious belief that if the British people were simply trusted with the truth—no matter how bad things got—they would only get stronger and more resilient. From his study at Chartwell, Winston Churchill recounts his courageous 1930’s journey from historical footnote to the most beloved leader and statesman in recorded history.</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
Friend of a Friend SD,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, February 26, 2019</span> to <span>Wednesday, February 27, 2019</span> </div>
<p><strong>A FRIEND OF A FRIEND: TALES OF THE UNDERGROUND RAILROAD</strong><br/>
BY MAGGIE MANCINELLI-CAHILL &amp; JILL RAFFERTY-WEINISCH<br/>
DIRECTED BY Margaret E. Hall<br/>
February 26 &amp; 27, 2019 | 10 a.m.<br/>
Cost: $8/$9<br/>
GE Theatre at Proctors</p>
<p>Run Time: 45 minutes + 15-minute talk-back<br/>
Grades 7+</p>
<p><strong>Curriculum Connections: ELA, NEW YORK STATE HISTORY</strong></p>
<p>This original docu-play, developed by theREP, used New York State archival documents to bring to life the impact of the Fugitive Slave Act in the Capital Region. The story tells of the intense moral struggles of several local people, including former slave Solomon Northup and Albany’s Harriet and Stephen Myers, who produced an anti-slavery newspaper and risked their freedom to be conductors on the Underground Railroad.</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
Peg + Cat Live!,"<div class=""content"">
<div class=""show-run"">
<span>Friday, April 05, 2019</span> </div>
<p><strong>Peg + Cat – Live!</strong><br/>
April 5, 2019</p>
<p>Based on the Emmy®-winning PBS Kids show, this totally awesome musical features wild comedy, countless favorite songs from the show, and Peg’s super coolest pal Ramone!</p>
</div>"
Passport Series: Edmar Castaneda Trio,"<div class=""content"">
<div class=""show-run"">
<span>Friday, November 30, 2018</span> </div>
<p>Since arriving in the United States in 1994, Colombian-born harp virtuoso Edmar Castaneda has forged his own distinctive path in music. He brings not only an unfamiliar instrument but a wholly original voice to jazz, branching out into a world of different styles and genres. His wide-ranging career has been remarkable for discovering a brilliant role for the harp in jazz, then continuing to innovate and spark creativity from a wealth of formidable collaborations. His latest CD, Live in Montreal, features the latest in an ever-growing history of thrilling partnerships, an utterly unique duo with the electrifying Japanese pianist Hiromi.</p>
<p>Born in 1978 in the city of Bogotá, Colombia, Castaneda took up the harp as a teenager to play the folkloric music of his homeland. He discovered jazz shortly after moving to New York City to join his father in 1994 and was immediately drawn to the freedom and sophistication of the music. With no real precedent for the harp in the jazz world, Castaneda studied trumpet by day while trying out his newfound knowledge on the harp at a restaurant gig by night.</p>
<p>He was ushered into the jazz community by Paquito D’Rivera, who recognized Castaneda’s passion and took the young harpist under his wing. D’Rivera has called him “an enormous talent… [Edmar] has the versatility and the enchanting charisma of a musician who has taken his harp out of the shadow to become one of the most original musicians from the Big Apple.”</p>
<p>Since then, Castaneda has taken New York and the world stage by storm with the sheer force of his virtuosic command of the harp, revolutionizing the way audiences and critics alike consider an instrument commonly relegated to the “unusual category”. He’s been acclaimed as a master at realizing beautiful complexities of time, while skillfully drawing out lush colors and dynamic spirit and crafting almost unbelievable feats of cross-rhythms, layered with chordal nuances rivaling the most celebrated flamenco guitarist’s efforts.</p>
</div>"
Pretty Much the Best Comedy Show - Aug. 24th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, August 24, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
The Gibson Brothers: North Country Christmas Show,"<div class=""content"">
<div class=""show-run"">
<span>Friday, December 07, 2018</span> </div>
<p><strong>The Gibson Brothers North Country Christmas</strong><br/>
December 7, 2018</p>
<p>THE GIBSON BROTHERS’ BRAND of bluegrass is a visceral mix of heritage and soaring harmony, making them the premiere brother duet of the genre, following in the footsteps of legendary brother acts such as the Stanley Brothers, Jim &amp; Jesse, and the Osborne Brothers. Their first-ever album of entirely original songs, In the Ground sees the Gibson Brothers taking on their own roots as the sixth generation to grow up on their family farm. The two-time International Bluegrass Music Association Entertainers of the Year follow up their stellar, 5-times nominated tribute to brother harmonies, Brotherhood, with this latest effort, which digs even deeper into their commitment to family and their history. The themes come from the farm, their childhood, and the region in which they were raised. One can hear their dedication to the songs, from the lighthearted to the profound; in the modernity of the lyrics, matched with a virtuosity that feels somehow both traditional and revelatory. Featuring celebrated, award-winning Dobro player Rob Ickes, In the Ground reaches into new territory for the Gibson Brothers as they reflect on their past.</p>
<p>The Gibson Brothers North Country Christmas Shows have become a tradition in their hometown. This year they are taking this show on the road bringing family and friends along to celebrate the holidays with you.</p>
</div>"
Max Weinberg's Jukebox,"<div class=""content"">
<div class=""show-run"">
<span>Friday, January 11, 2019</span> </div>
<p>Fresh off the hugely successful The River Tour 2016-2017 of Bruce Springsteen and The E Street Band—where the group played 89 concerts nearly four hours long each night in 15 countries amassing $300,000,000 in ticket sales, Rock And Roll Hall Of Fame Drummer Max Weinberg announces a new touring concept for the small venue—“Max Weinberg’s Jukebox” and it’s coming to Proctors! <span> </span></p>
<p>A truly interactive experience, Weinberg invites the audience to create in real time the set list he and his crack four piece group will play that night. Performing songs from the glory days of rock and roll your guests get to choose from a video menu of over 200 songs– everything from the Beatles to the Stones to Bruce and The E Street Band’s biggest hits—and hear the group play ‘em the way they want to hear them played! <span> </span></p>
<p>That’s right—the crowd gets to yell out their choices and Max plays them! This unique approach is fun and satisfying. How many times have you attended a show where you yearned to hear your favorite performer play your favorite song? With Max Weinberg’s Jukebox your dream will be realized. <span> </span></p>
<p>Weinberg, the driving rhythmic force propelling The E Street Band for 43 years, is also known to millions of fans for his 17 year stint as the bandleader and comedic foil to talk show host Conan O’Brien and is the only musician in history to make the leap from a starring role in one of the world’s iconic rock groups to leading his eponymous band on NBC’s “Late Night” and “The Tonight Show”. And if that wasn’t enough Weinberg managed to do both gigs simultaneously from 1999-2009. <span> </span></p>
<p><span> </span>VIP Meet and Greet option available! Don’t miss this incredibly unique experience!<span> </span></p>
</div>"
Pretty Much the Best Comedy Show - May 25th,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, May 25, 2019</span> </div>
<p><a href=""https://www.proctors.org/pmtbcs/"">Pretty Much The Best Comedy Show</a> includes a host, feature act, and guest comedians, providing nearly two hours of entertainment at the Capital Region’s premier alternative comedy room.</p>
<p>Upstate New York’s premiere stand-up showcase, Pretty Much the Best Comedy Show, has been thriving at Proctors since summer 2014, presenting a steady, diverse stream of talent to an ever-growing audience. </p>
<p>Check back soon to find out more information about our headlining comedian!</p>
</div>"
The Phantom Tollbooth SD,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, January 09, 2019</span> </div>
<p><strong>THE PHANTOM TOLLBOOTH</strong><br/>
BY SPECIAL ARRANGEMENT WITH NORTON JUSTER &amp; JULES FEIFFER<br/>
January 9, 2019 | 10 a.m.<br/>
Cost: $6/$7<br/>
MainStage at Proctors</p>
<p>Run Time: 60 minutes<br/>
Grades 1+</p>
<p><strong>Curriculum Connections: ELA, MATHEMATICS, GEOGRAPHY, SOCIAL STUDIES, VISUAL ARTS</strong></p>
<p>Milo, the boy “who didn’t know what to do with himself,” drives his toy car through a mysterious tollbooth that appears in his bedroom and soon finds himself on an eventful and dangerous quest to rescue the Princesses Rhyme and Reason, who, in the war between words and numbers, have been banished to the Castle in the Air. Milo travels through the Forest of Sight where he experiences different Points of View, accidently leaps to the Island of Conclusions and travels through the Mountains of Ignorance, where he must escape its Demons in order to save the Princesses. With the help of his steadfast companions, he perseveres and brings Rhyme and Reason home, restoring peace to the realm. Along the way something magical happens to Milo; he discovers the delights of friendship, curiosity and knowledge, and learns that life—his own life—is filled with endless possibilities.</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
